t_cand,n_candidats,sep_ziak_moy,top1_modal,stabilite_top1
5000,468,-2.6862829272306192,Beendo Z,0.3
8000,415,-2.4482789182859115,Kerchak,0.3
12000,326,-2.3636524989883645,Beendo Z,0.3
18000,266,-2.3668717319849284,Beendo Z,0.6
25000,189,-2.291740024774872,Beendo Z,1.0
