variante,rang_median_web7,rang_min,rang_max,top20_%,sep_web7,n_candidats,top1_modal,rang_Kerchak,rang_Beendo Z,rang_ISK,rang_Werenoi,rang_Zkr,n_titres_web7,mots_web7
textes complets,137.0,63.0,197.0,0.0,-0.3421157401574743,327,Beendo Z,3.0,2.0,8.0,5.0,8.0,69.0,33951.0
sans ad-libs entre parenthèses,131.5,88.0,184.0,0.0,-0.2657383720199156,326,Werenoi,3.0,4.0,9.0,2.0,11.5,69.0,33062.0
"web7 depuis 2019, sans ad-libs",133.0,75.0,183.0,0.0,-0.27632313849046725,326,Werenoi,2.0,3.5,8.5,2.0,10.0,41.0,18738.0
inverse : Ziak vu depuis web7,131.0,,,0.0,-0.3363323875935007,326,,,,,,,,
