variante,recall_at_1,recall_at_5,recall_at_20,rang_median,rang_moyen
A. naïve (corpus complets),0.39018087855297157,0.6098191214470284,0.8010335917312662,3.0,15.236434108527131
B. taille contrôlée,0.7855297157622739,0.9095607235142119,0.962532299741602,1.0,3.5516795865633073
C. taille contrôlée + Cosine Delta,0.9457364341085271,0.9909560723514211,0.9974160206718347,1.0,1.2467700258397933
