features,metric,sep_ziak,sep_H1_correct_moy,sep_H0_moy,z_vs_H1,z_vs_H0,log_rapport_vraisemblance_H0_H1,hypothese_favorisee,top1_modal
char,burrows_delta,-1.9838502355548195,-3.026451577622793,-2.226325384601856,1.5230037085522592,0.9526493950501262,1.6953817977583014,H0 (auteur absent du corpus),Zkr
char,cosine_delta,-2.4474070119775617,-4.739098624450708,-2.964891445723056,1.713055766564688,1.0124565393057292,1.9169128031812386,H0 (auteur absent du corpus),Beendo Z
mfw,burrows_delta,-2.1402927991960916,-3.405467281914298,-2.34094401651628,1.5943268447405883,0.7947416547748686,2.1003392681631556,H0 (auteur absent du corpus),Zkr
mfw,cosine_delta,-2.6312289558513107,-5.031999125715,-3.1299501633719267,1.6839051090497605,0.9891608643553033,1.9680323593383617,H0 (auteur absent du corpus),Soso Maness
