rep,features,metric,rang_moitie_B,top1,sep_moitie_B
20,char,cosine_delta,1,Ziak__moitie_B,-4.369545720743258
20,char,burrows_delta,1,Ziak__moitie_B,-2.37201524884018
21,mfw,cosine_delta,1,Ziak__moitie_B,-3.9945731917557414
21,mfw,burrows_delta,1,Ziak__moitie_B,-2.4306466139736727
21,char,cosine_delta,1,Ziak__moitie_B,-4.556564547227063
21,char,burrows_delta,2,Worms-T,-1.8493263946331226
22,mfw,cosine_delta,1,Ziak__moitie_B,-3.623238648874353
22,mfw,burrows_delta,1,Ziak__moitie_B,-2.7418707175303036
22,char,cosine_delta,1,Ziak__moitie_B,-3.9047025677063636
22,char,burrows_delta,1,Ziak__moitie_B,-2.3815044625215154
23,mfw,cosine_delta,1,Ziak__moitie_B,-3.8604390906275836
23,mfw,burrows_delta,1,Ziak__moitie_B,-2.4357714151438468
23,char,cosine_delta,1,Ziak__moitie_B,-3.5903707698263925
23,char,burrows_delta,10,Ademo,-1.5803884541246078
24,mfw,cosine_delta,1,Ziak__moitie_B,-4.23542915039227
24,mfw,burrows_delta,1,Ziak__moitie_B,-2.80834597177386
24,char,cosine_delta,1,Ziak__moitie_B,-3.6907110121752806
24,char,burrows_delta,1,Ziak__moitie_B,-2.2061573693488548
25,mfw,cosine_delta,1,Ziak__moitie_B,-4.465937514021827
25,mfw,burrows_delta,1,Ziak__moitie_B,-2.8297852730647226
25,char,cosine_delta,1,Ziak__moitie_B,-4.4512165539921105
25,char,burrows_delta,1,Ziak__moitie_B,-2.1102286938251065
26,mfw,cosine_delta,1,Ziak__moitie_B,-3.6821906290717132
26,mfw,burrows_delta,1,Ziak__moitie_B,-2.6314533046914512
26,char,cosine_delta,1,Ziak__moitie_B,-3.3234310188051195
26,char,burrows_delta,4,Nahir,-1.8839819394864494
27,mfw,cosine_delta,1,Ziak__moitie_B,-3.5264032098762783
27,mfw,burrows_delta,1,Ziak__moitie_B,-2.553851825122221
27,char,cosine_delta,1,Ziak__moitie_B,-3.3783350035743687
27,char,burrows_delta,3,ISK,-1.7267274389122875
28,mfw,cosine_delta,1,Ziak__moitie_B,-3.986779839779823
28,mfw,burrows_delta,1,Ziak__moitie_B,-3.0199638057444385
28,char,cosine_delta,1,Ziak__moitie_B,-3.7829066433427925
28,char,burrows_delta,1,Ziak__moitie_B,-2.1967068610840426
29,mfw,cosine_delta,1,Ziak__moitie_B,-4.092201735853828
29,mfw,burrows_delta,1,Ziak__moitie_B,-2.920974022635842
29,char,cosine_delta,1,Ziak__moitie_B,-4.2765048937111905
29,char,burrows_delta,1,Ziak__moitie_B,-2.1217960296803584
