features,metric,recall_at_1,recall_at_5,recall_at_10,recall_at_20,rang_median,sep_top1_moy,n_essais
char,cosine_delta,0.9457364341085271,0.9868217054263566,0.9961240310077519,0.9984496124031008,1.0,-4.657321978920724,1290
mfw,cosine_delta,0.9193798449612403,0.9852713178294573,0.9968992248062015,0.9976744186046511,1.0,-4.8977849025218925,1290
mfw,burrows_delta,0.8775193798449612,0.9612403100775194,0.975968992248062,0.9883720930232558,1.0,-3.2802962228633312,1290
char,burrows_delta,0.7968992248062016,0.924031007751938,0.951937984496124,0.9728682170542635,1.0,-2.872285742644893,1290
