n_rappeurs,rang_median,sep,n
2,9.5,-2.337630597054486,4
3,13.5,-1.9490349812101908,3
5,45.75,-1.332842682360358,2
6,14.5,-1.8982755635527786,2
8,88.5,-0.6661531041011484,2
