corpus des candidats,Kerchak,Beendo Z,ISK,Werenoi,Zkr,Rimkus,sep_top1
tel quel,3.5,2.0,6.5,8.5,11.5,6.0,-2.4783646951077483
titres avec Ziak retirés,2.0,2.0,6.0,9.5,14.5,5.0,-2.5464900963236206
