variante,recall_at_1,recall_at_5,recall_at_20,rang_median,rang_moyen
A. naïve (corpus complets),0.2504708097928437,0.4548022598870056,0.6741996233521658,7.0,24.871939736346516
B. taille contrôlée,0.7354048964218456,0.8738229755178908,0.9510357815442562,1.0,4.423728813559322
C. taille contrôlée + Cosine Delta,0.9152542372881356,0.9774011299435028,0.9981167608286252,1.0,1.3333333333333333
