rep,variante,features,metric,top1,sep_top1
6,"Genius, invités retirés",char,cosine_delta,ISK,-2.716914889105681
6,"Genius, invités retirés",char,burrows_delta,ISK,-2.0710112960933147
7,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.6960801855319967
7,LRFAF (corpus publié),mfw,burrows_delta,Sofiane,-2.2692790086061474
7,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.758525613583774
7,"Genius, invités inclus",mfw,burrows_delta,Sofiane,-2.228217368127876
7,"Genius, invités retirés",mfw,cosine_delta,Werenoi,-2.775272612739113
7,"Genius, invités retirés",mfw,burrows_delta,Sofiane,-2.1726926674389824
7,LRFAF (corpus publié),char,cosine_delta,Beendo Z,-2.3318075950357042
7,LRFAF (corpus publié),char,burrows_delta,Dibson,-2.150721811763837
7,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.4005587109325726
7,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.1037500631301893
7,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.3719972936655833
7,"Genius, invités retirés",char,burrows_delta,Dibson,-2.1118308843991977
8,LRFAF (corpus publié),mfw,cosine_delta,Maes,-2.83446607810225
8,LRFAF (corpus publié),mfw,burrows_delta,Zkr,-2.5865549374824433
8,"Genius, invités inclus",mfw,cosine_delta,Maes,-2.7468342898470928
8,"Genius, invités inclus",mfw,burrows_delta,Zkr,-2.472147819226578
8,"Genius, invités retirés",mfw,cosine_delta,Maes,-2.7429754874799634
8,"Genius, invités retirés",mfw,burrows_delta,Zkr,-2.491907980620467
8,LRFAF (corpus publié),char,cosine_delta,Beendo Z,-2.5917907536842106
8,LRFAF (corpus publié),char,burrows_delta,Zkr,-2.565177549192849
8,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.5853658962152557
8,"Genius, invités inclus",char,burrows_delta,Zkr,-2.475130138722977
8,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.5505356259199767
8,"Genius, invités retirés",char,burrows_delta,Zkr,-2.474138664146767
9,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.7218018845066068
9,LRFAF (corpus publié),mfw,burrows_delta,Zkr,-2.1192334494633926
9,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.7939646942234404
9,"Genius, invités inclus",mfw,burrows_delta,Zkr,-2.0201876136563297
9,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.7428078847153845
9,"Genius, invités retirés",mfw,burrows_delta,Zkr,-2.0842826894292887
9,LRFAF (corpus publié),char,cosine_delta,Beendo Z,-2.644002198771612
9,LRFAF (corpus publié),char,burrows_delta,ISK,-2.157683205812039
9,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.6575905517368095
9,"Genius, invités inclus",char,burrows_delta,ISK,-2.1303605802381034
9,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.6590805382186375
9,"Genius, invités retirés",char,burrows_delta,ISK,-2.124582607498448
10,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.788712397781743
10,LRFAF (corpus publié),mfw,burrows_delta,Zkr,-2.2401735975565913
10,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.840083992804709
10,"Genius, invités inclus",mfw,burrows_delta,Zkr,-2.14154794357997
10,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.828649660653221
10,"Genius, invités retirés",mfw,burrows_delta,Zkr,-2.183631804250821
10,LRFAF (corpus publié),char,cosine_delta,UZI (FRA),-2.5819357454000214
10,LRFAF (corpus publié),char,burrows_delta,Zkr,-2.42889137488897
10,"Genius, invités inclus",char,cosine_delta,UZI (FRA),-2.6279649301358634
10,"Genius, invités inclus",char,burrows_delta,Zkr,-2.3602439910295114
10,"Genius, invités retirés",char,cosine_delta,UZI (FRA),-2.6014813852462506
10,"Genius, invités retirés",char,burrows_delta,Zkr,-2.356523105754104
11,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.9473020595990924
11,LRFAF (corpus publié),mfw,burrows_delta,Lacrim,-2.087602537234157
11,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.9643937646107665
11,"Genius, invités inclus",mfw,burrows_delta,Lacrim,-2.170014836370974
11,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.9162885072038236
11,"Genius, invités retirés",mfw,burrows_delta,Lacrim,-2.130608275381941
11,LRFAF (corpus publié),char,cosine_delta,Kerchak,-2.63680480645821
11,LRFAF (corpus publié),char,burrows_delta,Souffrance,-2.132207463977127
11,"Genius, invités inclus",char,cosine_delta,Kerchak,-2.6851134212936114
11,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.106297316189248
11,"Genius, invités retirés",char,cosine_delta,Kerchak,-2.7305578409160063
11,"Genius, invités retirés",char,burrows_delta,Souffrance,-2.102274068672378
12,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.9567509276957273
12,LRFAF (corpus publié),mfw,burrows_delta,Lacrim,-2.15692495963745
12,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-3.0036587495079923
12,"Genius, invités inclus",mfw,burrows_delta,SCH,-2.1340674749983717
12,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.9395136149796333
12,"Genius, invités retirés",mfw,burrows_delta,Lacrim,-2.1362017352056437
12,LRFAF (corpus publié),char,cosine_delta,Beendo Z,-2.5676853228375593
12,LRFAF (corpus publié),char,burrows_delta,Zkr,-2.157257713313251
12,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.6141424569743164
12,"Genius, invités inclus",char,burrows_delta,Zkr,-2.115266177204695
12,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.6058795455263506
12,"Genius, invités retirés",char,burrows_delta,Zkr,-2.1293909013137338
13,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.639075705089645
13,LRFAF (corpus publié),mfw,burrows_delta,Lacrim,-2.0184440162713906
13,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.7225252833707363
13,"Genius, invités inclus",mfw,burrows_delta,Lacrim,-2.04757099397851
