features,metric,recall_at_1,recall_at_5,recall_at_10,recall_at_20,rang_median,sep_top1_moy,n_essais
char,cosine_delta,0.9433962264150944,0.9937106918238994,0.9968553459119497,0.9993710691823899,1.0,-4.716042994343342,1590
mfw,cosine_delta,0.9106918238993711,0.9861635220125786,0.9930817610062893,0.9987421383647799,1.0,-4.945802470998431,1590
mfw,burrows_delta,0.8704402515723271,0.9666666666666667,0.9779874213836478,0.9861635220125786,1.0,-3.265487324927942,1590
char,burrows_delta,0.7666666666666667,0.9176100628930818,0.9459119496855346,0.9716981132075472,1.0,-2.861358599518837,1590
