rep,features,metric,rang_moitie_B,top1,sep_moitie_B
20,mfw,cosine_delta,1,Ziak__moitie_B,-3.3114068244055406
20,mfw,burrows_delta,1,Ziak__moitie_B,-2.575806577423388
20,char,cosine_delta,1,Ziak__moitie_B,-3.254806751014156
20,char,burrows_delta,2,Zkr,-1.8079021083331746
21,mfw,cosine_delta,1,Ziak__moitie_B,-3.447542163839711
21,mfw,burrows_delta,2,Zkr,-2.1552119648461514
21,char,cosine_delta,1,Ziak__moitie_B,-3.5244161531755362
21,char,burrows_delta,4,Deen Burbigo,-1.7367808835063843
22,mfw,cosine_delta,1,Ziak__moitie_B,-3.558007783134901
22,mfw,burrows_delta,1,Ziak__moitie_B,-2.5121629645444776
22,char,cosine_delta,1,Ziak__moitie_B,-3.41396055249281
22,char,burrows_delta,1,Ziak__moitie_B,-2.0495839541742935
23,mfw,cosine_delta,1,Ziak__moitie_B,-3.9226220628048782
23,mfw,burrows_delta,2,Zkr,-2.5789018625598104
23,char,cosine_delta,1,Ziak__moitie_B,-3.875514435388449
23,char,burrows_delta,1,Ziak__moitie_B,-2.139004903754142
24,mfw,cosine_delta,1,Ziak__moitie_B,-3.7787359143587382
24,mfw,burrows_delta,1,Ziak__moitie_B,-2.375249246722216
24,char,cosine_delta,1,Ziak__moitie_B,-3.4774901839532926
24,char,burrows_delta,4,Vald,-1.70142935805861
25,mfw,cosine_delta,1,Ziak__moitie_B,-3.0574246810436088
25,mfw,burrows_delta,1,Ziak__moitie_B,-2.4051239643646154
25,char,cosine_delta,1,Ziak__moitie_B,-3.8099534744642742
25,char,burrows_delta,1,Ziak__moitie_B,-1.9839670230093385
26,mfw,cosine_delta,1,Ziak__moitie_B,-3.5121012113946293
26,mfw,burrows_delta,1,Ziak__moitie_B,-2.4941743891760857
26,char,cosine_delta,1,Ziak__moitie_B,-3.430801596057798
26,char,burrows_delta,2,Zkr,-2.0947343200018977
27,mfw,cosine_delta,1,Ziak__moitie_B,-3.2849825592850705
27,mfw,burrows_delta,1,Ziak__moitie_B,-2.414535049854729
27,char,cosine_delta,1,Ziak__moitie_B,-3.247421273351224
27,char,burrows_delta,4,ISK,-1.8273303138012746
28,mfw,cosine_delta,1,Ziak__moitie_B,-3.441339091069443
28,mfw,burrows_delta,1,Ziak__moitie_B,-2.8353911138660597
28,char,cosine_delta,1,Ziak__moitie_B,-3.4515651095478805
28,char,burrows_delta,1,Ziak__moitie_B,-2.3128743016848587
29,mfw,cosine_delta,2,Zola,-2.7942310923440132
29,mfw,burrows_delta,2,Zkr,-2.1037042019624645
29,char,cosine_delta,1,Ziak__moitie_B,-3.435669302059234
29,char,burrows_delta,2,Zkr,-1.9987937274708807
