variante,recall_at_1,recall_at_5,recall_at_20,rang_median,rang_moyen
A. naïve (corpus complets),0.3532494758909853,0.5628930817610063,0.7620545073375262,3.0,18.39832285115304
B. taille contrôlée,0.7714884696016772,0.8878406708595388,0.9591194968553459,1.0,4.366876310272537
C. taille contrôlée + Cosine Delta,0.9444444444444444,0.9916142557651991,0.9979035639412998,1.0,1.2473794549266248
