rep,rang_cible,n_candidats,sep_cible,sep_top1,top1,rang_Kerchak,rang_Beendo Z,rang_ISK,rang_Werenoi,rang_Zkr,rang_Rimkus,variante
21,98,367,-0.7520488355228229,-2.6844453895984706,Werenoi,2,6,10,1,5,3,sans ad-libs entre parenthèses
22,144,367,-0.3313609889735327,-2.591572755412029,Werenoi,3,6,5,1,7,4,sans ad-libs entre parenthèses
23,95,367,-0.7796128656735994,-2.712043582702934,Kerchak,1,8,13,3,18,4,sans ad-libs entre parenthèses
24,148,367,-0.24280719480159063,-2.5581657459238043,Werenoi,2,3,9,1,5,4,sans ad-libs entre parenthèses
25,118,367,-0.5060687794614169,-2.7435716014578646,Beendo Z,6,1,5,2,4,7,sans ad-libs entre parenthèses
26,107,367,-0.6389557293288263,-2.674385981483131,Kerchak,1,3,6,2,9,4,sans ad-libs entre parenthèses
27,120,367,-0.4778764758488559,-2.8169324562073745,Werenoi,6,2,12,1,7,4,sans ad-libs entre parenthèses
28,74,367,-0.9357881767333548,-2.431570500695,Beendo Z,3,1,14,2,13,5,sans ad-libs entre parenthèses
29,68,367,-1.0020486695466608,-2.4536594460663164,ISK,2,13,1,7,8,5,sans ad-libs entre parenthèses
0,173,367,-0.11347713626341031,-2.6634819596107913,Beendo Z,3,1,21,2,8,4,"web7 depuis 2019, sans ad-libs"
1,129,367,-0.5043034797524838,-2.461395005444778,Werenoi,4,5,8,1,6,3,"web7 depuis 2019, sans ad-libs"
2,132,367,-0.336134815995715,-2.828968951785422,Werenoi,2,3,21,1,6,5,"web7 depuis 2019, sans ad-libs"
3,137,367,-0.35055891498450004,-2.449159518075327,Kerchak,1,3,12,2,10,4,"web7 depuis 2019, sans ad-libs"
4,129,367,-0.4116908802797961,-2.6317714096885467,Werenoi,4,2,21,1,7,5,"web7 depuis 2019, sans ad-libs"
5,136,367,-0.34506562342105623,-2.5944906600105475,Werenoi,9,3,5,1,2,8,"web7 depuis 2019, sans ad-libs"
6,76,367,-0.8914731850190601,-2.5376421149073582,Werenoi,3,8,12,1,2,7,"web7 depuis 2019, sans ad-libs"
7,103,367,-0.6783225496380356,-2.645970665644955,Fresh laDouille,2,4,14,3,7,5,"web7 depuis 2019, sans ad-libs"
8,89,367,-0.779614210831124,-2.7041398962110033,Werenoi,2,10,6,1,3,5,"web7 depuis 2019, sans ad-libs"
9,107,367,-0.6084319004486506,-2.7591521765816367,Werenoi,5,4,18,1,2,6,"web7 depuis 2019, sans ad-libs"
10,128,367,-0.4871819605637857,-2.5654651778763826,Beendo Z,3,1,26,6,2,4,"web7 depuis 2019, sans ad-libs"
11,94,367,-0.7032594508866664,-2.7511094796892452,Kerchak,1,3,11,2,5,4,"web7 depuis 2019, sans ad-libs"
12,115,367,-0.5422278452583907,-2.440531785000225,Werenoi,3,11,8,1,2,4,"web7 depuis 2019, sans ad-libs"
13,111,367,-0.5786251058215177,-2.6078545889297944,Werenoi,3,2,22,1,11,5,"web7 depuis 2019, sans ad-libs"
14,125,367,-0.472308839843756,-2.6362802855907166,Werenoi,3,2,9,1,4,5,"web7 depuis 2019, sans ad-libs"
15,140,367,-0.33839541855608235,-2.753245873849898,Werenoi,6,3,20,1,4,5,"web7 depuis 2019, sans ad-libs"
16,95,367,-0.7737530438299522,-2.6513808382133552,Werenoi,2,4,17,1,23,3,"web7 depuis 2019, sans ad-libs"
17,52,367,-1.0965660427153257,-2.604505196589968,Werenoi,3,2,13,1,11,4,"web7 depuis 2019, sans ad-libs"
18,123,367,-0.504434194987223,-2.6376197800658288,Werenoi,2,4,21,1,6,3,"web7 depuis 2019, sans ad-libs"
19,111,367,-0.6055167612542777,-2.7626872694787536,Werenoi,4,3,27,1,6,2,"web7 depuis 2019, sans ad-libs"
20,105,367,-0.6011590721517471,-2.568034147331712,Kerchak,1,2,6,4,14,5,"web7 depuis 2019, sans ad-libs"
21,123,367,-0.4641789331330665,-3.0553072805453256,Werenoi,3,7,5,1,2,4,"web7 depuis 2019, sans ad-libs"
22,154,367,-0.2873577434034729,-2.6814790962296073,Zkr,3,8,10,4,1,6,"web7 depuis 2019, sans ad-libs"
23,166,367,-0.12792003784909667,-2.4206852939323884,UZI (FRA),3,4,11,2,12,5,"web7 depuis 2019, sans ad-libs"
24,128,367,-0.39088133218263876,-2.7332931715287287,Kerchak,1,2,6,4,7,5,"web7 depuis 2019, sans ad-libs"
25,144,367,-0.2524559837575439,-2.8410604017652514,Werenoi,2,12,3,1,4,5,"web7 depuis 2019, sans ad-libs"
26,161,367,-0.1206314954318577,-2.4908967831280227,Zkr,2,5,8,4,1,6,"web7 depuis 2019, sans ad-libs"
27,123,367,-0.4358518704009617,-2.419826412251375,Beendo Z,4,1,37,5,17,3,"web7 depuis 2019, sans ad-libs"
28,139,367,-0.3557996476854358,-2.709907663720804,Werenoi,2,5,10,1,7,3,"web7 depuis 2019, sans ad-libs"
29,129,367,-0.41986686792770106,-2.4357017145893614,Werenoi,3,2,4,1,9,5,"web7 depuis 2019, sans ad-libs"
0,111,367,-0.5907534478171494,-2.8495307670342074,Lycos,83,22,64,215,34,248,inverse : Ziak vu depuis web7
1,160,367,-0.2561023132098552,-2.934351380269058,Lycos,85,58,62,175,119,226,inverse : Ziak vu depuis web7
2,168,367,-0.1161655560273355,-3.303299052869972,Lycos,136,63,83,188,59,256,inverse : Ziak vu depuis web7
3,145,367,-0.3067326577521038,-3.1075060297086785,Lycos,57,42,99,198,40,272,inverse : Ziak vu depuis web7
4,149,367,-0.316621479209363,-2.932694668405312,Lycos,78,26,132,219,71,256,inverse : Ziak vu depuis web7
5,72,367,-0.9514902461049817,-3.4656564464575172,Lycos,113,40,79,198,86,240,inverse : Ziak vu depuis web7
6,143,367,-0.348156708823284,-3.0459459037711247,Lycos,47,29,103,222,101,197,inverse : Ziak vu depuis web7
7,120,367,-0.5872489188545447,-3.219157071909603,Lycos,90,41,156,205,72,256,inverse : Ziak vu depuis web7
8,127,367,-0.4053423802933687,-3.3772798708808405,Lycos,101,72,148,267,80,269,inverse : Ziak vu depuis web7
9,150,367,-0.2835332259226957,-3.284937507176531,Lycos,107,59,175,227,52,218,inverse : Ziak vu depuis web7
10,151,367,-0.26596906766305733,-2.953331984882181,Lycos,60,47,164,183,26,223,inverse : Ziak vu depuis web7
11,135,367,-0.3988056881253058,-2.630051188620821,Lycos,45,19,122,197,29,224,inverse : Ziak vu depuis web7
12,97,367,-0.6861863604167695,-3.027737294185653,Lycos,38,18,149,166,110,234,inverse : Ziak vu depuis web7
13,87,367,-0.7232822222366176,-3.180453056746987,Lycos,60,22,160,207,128,258,inverse : Ziak vu depuis web7
14,102,367,-0.6676861729333515,-2.8333115074000017,Lycos,63,69,80,196,42,238,inverse : Ziak vu depuis web7
15,155,367,-0.33962904301741353,-3.080572196888504,Lycos,118,79,181,219,96,224,inverse : Ziak vu depuis web7
16,89,367,-0.7543672968845715,-3.072864644930406,Lycos,80,15,137,196,54,199,inverse : Ziak vu depuis web7
17,108,367,-0.6320818229134864,-3.5302310771631387,Lycos,115,14,58,148,92,174,inverse : Ziak vu depuis web7
18,95,367,-0.7271731048360777,-3.415885366328159,Lycos,70,27,135,196,57,265,inverse : Ziak vu depuis web7
19,124,367,-0.5076062855608177,-2.890442775483986,Lycos,126,23,166,213,69,270,inverse : Ziak vu depuis web7
20,120,367,-0.5009909153716245,-2.822744782980211,Lycos,85,28,117,205,54,247,inverse : Ziak vu depuis web7
21,103,367,-0.7023921239771165,-2.995766873275211,Lycos,61,31,107,168,125,221,inverse : Ziak vu depuis web7
22,118,367,-0.5634535830989509,-2.9974113946809804,Lycos,49,21,75,134,62,248,inverse : Ziak vu depuis web7
23,114,367,-0.5629299869574748,-2.9540154914284615,Lycos,57,77,116,213,13,204,inverse : Ziak vu depuis web7
24,152,367,-0.32587647376667556,-3.3347903880659993,Lycos,69,62,81,176,99,240,inverse : Ziak vu depuis web7
25,141,367,-0.3125211201648702,-2.98386384081459,Lycos,75,58,113,187,67,225,inverse : Ziak vu depuis web7
26,58,367,-1.058425352564762,-2.96086706268216,Lycos,91,26,69,157,27,215,inverse : Ziak vu depuis web7
27,170,367,-0.21248679690187,-2.7838959136656616,Lycos,44,34,87,188,49,220,inverse : Ziak vu depuis web7
28,122,367,-0.5241032864498267,-2.708017903244612,Lycos,101,59,143,213,51,253,inverse : Ziak vu depuis web7
29,129,367,-0.4236339574471053,-3.2967870376778072,Lycos,61,45,156,189,97,256,inverse : Ziak vu depuis web7
