t_cand,n_candidats,sep_ziak_moy,top1_modal,stabilite_top1
5000,472,-2.78394906204094,Beendo Z,0.4
8000,432,-2.474431442676411,Kerchak,0.3
12000,374,-2.451989451235062,Beendo Z,0.5
18000,311,-2.467123142692379,Beendo Z,0.6
25000,242,-2.389062392181351,Beendo Z,0.7
