n_rappeurs,rang_median,sep,n
2,3.5,-2.608784780826106,5
3,19.5,-2.0726098915699445,3
5,54.0,-1.2349917879075933,2
6,12.0,-1.9664697016314325,2
8,161.75,-0.30750529333352106,2
