features,metric,sep_ziak,sep_H1_correct_moy,sep_H0_moy,z_vs_H1,z_vs_H0,log_rapport_vraisemblance_H0_H1,hypothese_favorisee,top1_modal
char,burrows_delta,-2.015274143581094,-3.037559984783255,-2.2724443424028578,1.556158803847025,1.145235444486135,1.6284810662004248,H0 (auteur absent du corpus),Zkr
char,cosine_delta,-2.461581204281531,-4.7941210791511715,-3.061214265845689,1.7043206303053993,1.1020489699613079,1.7674981362452549,H0 (auteur absent du corpus),Beendo Z
mfw,burrows_delta,-2.1170188040678783,-3.392236792739084,-2.382303945610343,1.6661084606351007,1.0772707586951853,1.9417098420498986,H0 (auteur absent du corpus),Zkr
mfw,cosine_delta,-2.6486961308807735,-5.078851522847006,-3.225474567641252,1.7170304277399238,1.0463133605057184,1.8696397986891988,H0 (auteur absent du corpus),SCH
