rep,features,metric,rang_moitie_B,top1,sep_moitie_B
20,char,cosine_delta,1,Ziak__moitie_B,-4.002952870022124
20,char,burrows_delta,1,Ziak__moitie_B,-2.1529835503129666
21,mfw,cosine_delta,1,Ziak__moitie_B,-3.9790452061089634
21,mfw,burrows_delta,1,Ziak__moitie_B,-2.6959695871606084
21,char,cosine_delta,1,Ziak__moitie_B,-4.1378855336283955
21,char,burrows_delta,3,L’Animalerie,-1.9674203129403014
22,mfw,cosine_delta,1,Ziak__moitie_B,-3.303710315626121
22,mfw,burrows_delta,1,Ziak__moitie_B,-2.526437712298156
22,char,cosine_delta,1,Ziak__moitie_B,-3.6778592104525156
22,char,burrows_delta,1,Ziak__moitie_B,-2.250225147951705
23,mfw,cosine_delta,1,Ziak__moitie_B,-3.3188132403741877
23,mfw,burrows_delta,1,Ziak__moitie_B,-2.2400199661281883
23,char,cosine_delta,1,Ziak__moitie_B,-3.9005982134766497
23,char,burrows_delta,1,Ziak__moitie_B,-2.1759746288160993
24,mfw,cosine_delta,4,Soso Maness,-2.4311198459139547
24,mfw,burrows_delta,4,Zkr,-1.8015997037467575
24,char,cosine_delta,1,Ziak__moitie_B,-2.859259856870041
24,char,burrows_delta,1,Ziak__moitie_B,-1.9665662090843226
25,mfw,cosine_delta,1,Ziak__moitie_B,-3.8699321512842353
25,mfw,burrows_delta,1,Ziak__moitie_B,-2.450325326721438
25,char,cosine_delta,1,Ziak__moitie_B,-4.639602132036317
25,char,burrows_delta,1,Ziak__moitie_B,-2.8175644058205047
26,mfw,cosine_delta,2,Rimkus,-2.9038592758281436
26,mfw,burrows_delta,2,Zkr,-1.9765205416568261
26,char,cosine_delta,1,Ziak__moitie_B,-3.993201799307393
26,char,burrows_delta,3,Ademo,-1.980877176473998
27,mfw,cosine_delta,1,Ziak__moitie_B,-4.226227570946669
27,mfw,burrows_delta,1,Ziak__moitie_B,-3.0844755201717575
27,char,cosine_delta,1,Ziak__moitie_B,-4.261561262230958
27,char,burrows_delta,1,Ziak__moitie_B,-2.3899515709126127
28,mfw,cosine_delta,1,Ziak__moitie_B,-3.3949031485772885
28,mfw,burrows_delta,1,Ziak__moitie_B,-2.527911413898421
28,char,cosine_delta,1,Ziak__moitie_B,-4.075617482234277
28,char,burrows_delta,1,Ziak__moitie_B,-2.2294708421378933
29,mfw,cosine_delta,2,Rimkus,-3.0347632939978095
29,mfw,burrows_delta,2,Maes,-2.18260513794014
29,char,cosine_delta,1,Ziak__moitie_B,-3.8899021696616543
29,char,burrows_delta,2,Zkr,-2.125220526648015
