features,metric,sep_H1_moy,sep_H1_sd,sep_H1_correct_moy,sep_H0_moy,sep_H0_sd,sep_H0_p05,ecart_H1_H0
char,burrows_delta,-2.7876221098884493,0.6306601186107805,-3.0105325415774886,-2.329303232654356,0.2547842586285829,-2.7904726920693665,0.45831887723409315
char,cosine_delta,-4.458137481110537,1.3229453415664825,-4.593159888985909,-3.0462864416449777,0.5350221741384633,-4.07500871269105,1.4118510394655592
mfw,burrows_delta,-3.1002056942224954,0.7246627316427812,-3.274812779471153,-2.3959684143807856,0.2573661365017127,-2.863806463631918,0.7042372798417098
mfw,cosine_delta,-4.641178681864652,1.329039851596123,-4.83432959483357,-3.255734956778231,0.6188531755434374,-4.360312239668353,1.3854437250864207
