features,metric,sep_mikeysem,sep_H1_correct,sep_H0,z_vs_H0
char,burrows_delta,0.3789497998608825,-3.012971305782972,-2.620595534707502,11.187059285225484
char,cosine_delta,-1.2211371980005075,-4.413886739790686,-3.266627494846748,2.933770523975347
mfw,burrows_delta,-0.34593330429738667,-3.097976061071945,-2.547516977971602,8.541314410038959
mfw,cosine_delta,-0.5229725643465726,-4.682826779994041,-3.5555460566304014,3.915917942330008
