rep,rang_cible,n_candidats,sep_cible,sep_top1,top1,rang_Kerchak,rang_Beendo Z,rang_ISK,rang_Werenoi,rang_Zkr,rang_Rimkus,variante
21,154,390,-0.3004817134248383,-2.7099472982164525,ISK,3,5,1,2,21,4,sans ad-libs entre parenthèses
22,136,390,-0.38400482377428147,-2.9336838794541555,ISK,5,4,1,2,8,3,sans ad-libs entre parenthèses
23,179,390,-0.1225196969806232,-2.3528446451662233,Zkr,6,3,15,2,1,9,sans ad-libs entre parenthèses
24,144,390,-0.3002805330199781,-2.515381106525142,ISK,4,8,1,2,16,6,sans ad-libs entre parenthèses
25,170,390,-0.14020643114870204,-2.555736666224583,Maes,2,5,16,8,6,3,sans ad-libs entre parenthèses
26,156,390,-0.26156342134564264,-2.629456135642039,Zkr,3,10,25,2,1,4,sans ad-libs entre parenthèses
27,124,390,-0.5174432355328662,-2.482143931476454,Werenoi,2,9,3,1,13,4,sans ad-libs entre parenthèses
28,144,390,-0.3111626527868165,-2.6992814304735173,Kerchak,1,2,5,7,74,3,sans ad-libs entre parenthèses
29,111,390,-0.6221079708268114,-2.535026752614858,Werenoi,2,6,5,1,18,4,sans ad-libs entre parenthèses
0,117,390,-0.6111615474913218,-2.4818823936448857,UZI (FRA),6,2,30,10,3,4,"web7 depuis 2019, sans ad-libs"
1,117,390,-0.5267105686131249,-2.668919438591146,Beendo Z,8,1,19,2,5,4,"web7 depuis 2019, sans ad-libs"
2,184,390,-0.02565562644599858,-2.6388059867415166,Beendo Z,9,1,3,2,10,4,"web7 depuis 2019, sans ad-libs"
3,95,390,-0.7424428746972362,-2.452577153196991,ISK,2,5,1,8,3,6,"web7 depuis 2019, sans ad-libs"
4,156,390,-0.23499793454932652,-2.577613983970442,Beendo Z,9,1,4,2,5,7,"web7 depuis 2019, sans ad-libs"
5,95,390,-0.7315828957593671,-2.764682918630062,Beendo Z,5,1,4,2,7,6,"web7 depuis 2019, sans ad-libs"
6,119,390,-0.5431354874181374,-2.5146344799355997,Beendo Z,5,1,6,4,10,9,"web7 depuis 2019, sans ad-libs"
7,141,390,-0.3999815741692365,-2.4595721520711162,Werenoi,4,2,19,1,12,3,"web7 depuis 2019, sans ad-libs"
8,92,390,-0.7706775975234794,-2.734287936736777,UZI (FRA),4,3,2,6,14,5,"web7 depuis 2019, sans ad-libs"
9,101,390,-0.6969587652141676,-2.54360802635079,Beendo Z,7,1,3,4,2,6,"web7 depuis 2019, sans ad-libs"
10,115,390,-0.5509358665492803,-2.617718815896174,Werenoi,3,2,13,1,30,4,"web7 depuis 2019, sans ad-libs"
11,126,390,-0.519062492815766,-2.4751321790651293,ISK,3,4,1,5,65,6,"web7 depuis 2019, sans ad-libs"
12,182,390,-0.10745717465572882,-2.4710780109707464,Rimkus,5,4,3,2,25,1,"web7 depuis 2019, sans ad-libs"
13,67,390,-0.9825012415965788,-2.4623676351168653,Werenoi,6,2,8,1,4,14,"web7 depuis 2019, sans ad-libs"
14,116,390,-0.582354433615283,-2.4175390286776777,Rimkus,7,3,47,11,6,1,"web7 depuis 2019, sans ad-libs"
15,126,390,-0.5081648595298858,-2.801729893050135,Werenoi,11,2,15,1,27,5,"web7 depuis 2019, sans ad-libs"
16,128,390,-0.46577379333161967,-2.644404219586335,ASHE 22,7,2,10,4,24,6,"web7 depuis 2019, sans ad-libs"
17,127,390,-0.4532818750029553,-2.439165330142143,Rimkus,3,4,19,5,2,1,"web7 depuis 2019, sans ad-libs"
18,108,390,-0.6055028928259335,-2.530927606163653,Beendo Z,2,1,15,5,9,6,"web7 depuis 2019, sans ad-libs"
19,106,390,-0.6112765553485423,-2.659403105055707,Beendo Z,2,1,20,8,14,10,"web7 depuis 2019, sans ad-libs"
20,136,390,-0.45016937321844475,-2.4802805055932855,Rimkus,2,10,14,9,3,1,"web7 depuis 2019, sans ad-libs"
21,116,390,-0.5520932595013087,-2.6472658044184536,UZI (FRA),2,4,6,12,9,3,"web7 depuis 2019, sans ad-libs"
22,118,390,-0.5540584805309627,-2.608650892989847,Beendo Z,2,1,26,4,14,3,"web7 depuis 2019, sans ad-libs"
23,99,390,-0.7176435140012483,-2.4656823108802914,Werenoi,5,11,13,1,15,3,"web7 depuis 2019, sans ad-libs"
24,113,390,-0.5850064039508399,-2.491617929220733,Werenoi,3,4,2,1,6,10,"web7 depuis 2019, sans ad-libs"
25,137,390,-0.4443293849660822,-2.4796314993175494,ISK,5,3,1,11,8,6,"web7 depuis 2019, sans ad-libs"
26,136,390,-0.4657801894828056,-2.327622168637143,ISK,7,2,1,11,13,10,"web7 depuis 2019, sans ad-libs"
27,180,390,-0.019022681569456322,-2.6003754458479538,Maes,4,3,2,5,13,11,"web7 depuis 2019, sans ad-libs"
28,156,390,-0.22657577046290842,-2.6188349488921117,Beendo Z,13,1,3,2,15,4,"web7 depuis 2019, sans ad-libs"
29,167,390,-0.1419702748129967,-2.5361496753306545,Beendo Z,3,1,11,2,14,4,"web7 depuis 2019, sans ad-libs"
0,150,390,-0.3511178874307044,-3.304831587693627,Lycos,117,62,141,204,93,324,inverse : Ziak vu depuis web7
1,179,390,-0.1932055008710499,-3.1786922533589586,Lycos,106,56,189,249,149,267,inverse : Ziak vu depuis web7
2,136,390,-0.5034305393114136,-3.2852510274225217,Lycos,49,19,156,219,100,256,inverse : Ziak vu depuis web7
3,169,390,-0.2316915980588726,-2.8952208743362755,Lycos,88,27,197,232,118,301,inverse : Ziak vu depuis web7
4,180,390,-0.16843445250936165,-2.6885942795072593,Lycos,93,22,171,239,51,253,inverse : Ziak vu depuis web7
5,189,390,-0.1289730552674617,-3.0455067539280956,Lycos,98,51,130,229,137,269,inverse : Ziak vu depuis web7
6,152,390,-0.3158934822001154,-2.488713635170972,Lycos,66,49,90,225,77,264,inverse : Ziak vu depuis web7
7,138,390,-0.4533245068792525,-3.0699060546275434,Lycos,68,46,109,192,92,268,inverse : Ziak vu depuis web7
8,143,390,-0.4567363920542654,-2.894507900645877,Lycos,74,49,90,214,34,268,inverse : Ziak vu depuis web7
9,104,390,-0.7174058465864405,-3.1556537772292557,Lycos,105,92,95,213,45,281,inverse : Ziak vu depuis web7
10,128,390,-0.5549030969445095,-2.9075778404546013,Lycos,67,66,138,177,96,304,inverse : Ziak vu depuis web7
11,115,390,-0.5965757698298627,-2.519195566682594,Lycos,78,35,57,196,131,284,inverse : Ziak vu depuis web7
12,96,390,-0.7836587368138672,-2.630361458888377,Lycos,47,28,120,227,38,260,inverse : Ziak vu depuis web7
13,134,390,-0.49655216798653595,-2.975531169810169,Lycos,53,46,93,187,129,274,inverse : Ziak vu depuis web7
14,94,390,-0.7902654177557684,-2.8965786902216717,Lycos,83,65,126,247,46,276,inverse : Ziak vu depuis web7
15,114,390,-0.6115095206251353,-2.9213419792139517,Lycos,166,29,96,186,77,272,inverse : Ziak vu depuis web7
16,127,390,-0.5977934169569636,-2.9669815363918897,Lycos,46,66,193,159,64,282,inverse : Ziak vu depuis web7
17,161,390,-0.2840326796863295,-2.988429261216956,Lycos,50,41,172,179,38,268,inverse : Ziak vu depuis web7
18,177,390,-0.22544511175548143,-3.074748712850178,Lycos,73,40,178,191,38,275,inverse : Ziak vu depuis web7
19,120,390,-0.6176781049038126,-3.244706315218085,Lycos,93,36,82,201,142,266,inverse : Ziak vu depuis web7
20,154,390,-0.32823263570474337,-2.9161122589260495,Zamdane,66,71,56,213,64,291,inverse : Ziak vu depuis web7
21,170,390,-0.2161074359253889,-3.3424459048053325,Lycos,82,24,132,195,110,263,inverse : Ziak vu depuis web7
22,160,390,-0.3265218722758308,-3.082295261338363,Lycos,109,46,153,237,118,247,inverse : Ziak vu depuis web7
23,87,390,-0.8263389727474885,-2.7493613804355364,Lycos,71,36,169,220,57,246,inverse : Ziak vu depuis web7
24,178,390,-0.16016830312241956,-2.8026288987630266,Youv Dee,114,27,150,199,91,311,inverse : Ziak vu depuis web7
25,115,390,-0.5900526659145233,-3.0147461782309453,Lycos,73,17,145,208,94,333,inverse : Ziak vu depuis web7
26,76,390,-0.954625879506618,-3.0190366570949205,Lycos,99,15,157,164,45,293,inverse : Ziak vu depuis web7
27,165,390,-0.25182122454227673,-2.88287213966669,Lycos,52,36,147,233,59,296,inverse : Ziak vu depuis web7
28,134,390,-0.470277845427925,-2.905896490310623,Lycos,44,22,122,131,100,215,inverse : Ziak vu depuis web7
29,79,390,-0.8945178939636137,-2.925579398190617,​nelick,86,76,161,156,126,248,inverse : Ziak vu depuis web7
