n_rappeurs,rang_median,sep,n
2,9.5,-2.5587354820809565,5
3,4.5,-2.3672545634351363,3
5,38.25,-1.5208349444342522,2
6,16.5,-1.8489832845615957,2
8,104.25,-0.4789936160446453,2
