rep,features,metric,rang,artiste,distance
0,char,burrows_delta,22,5 Majeur,0.8290534074234527
0,char,burrows_delta,23,Niro,0.8296392396950915
0,char,burrows_delta,24,Sam’s,0.8298915892428489
0,char,burrows_delta,25,Casseurs Flowters,0.830117392897135
1,mfw,cosine_delta,1,Werenoi,0.6992868021204504
1,mfw,cosine_delta,2,Beendo Z,0.7090311143976133
1,mfw,cosine_delta,3,GLK,0.7176537294604954
1,mfw,cosine_delta,4,Rimkus,0.7301225512797364
1,mfw,cosine_delta,5,SCH,0.7339270861055665
1,mfw,cosine_delta,6,Lacrim,0.7509497573848488
1,mfw,cosine_delta,7,Lemon Haze,0.7526548455099877
1,mfw,cosine_delta,8,Fresh laDouille,0.7600129275592167
1,mfw,cosine_delta,9,Graya,0.766421171425093
1,mfw,cosine_delta,10,Timal,0.7690501050843633
1,mfw,cosine_delta,11,Maes,0.7831671063536974
1,mfw,cosine_delta,12,Sofiane,0.783356134260863
1,mfw,cosine_delta,13,S-Pion,0.8011146621469943
1,mfw,cosine_delta,14,​DA Uzi,0.8025821635064512
1,mfw,cosine_delta,15,Koba LaD,0.8030677600418722
1,mfw,cosine_delta,16,Youri,0.8058712165160828
1,mfw,cosine_delta,17,Kerchak,0.8066621542789287
1,mfw,cosine_delta,18,Seth Gueko,0.8096153136854571
1,mfw,cosine_delta,19,SDM,0.8126632578066766
1,mfw,cosine_delta,20,Lesram,0.8156813896345791
1,mfw,cosine_delta,21,100 Blaze,0.8205185788885361
1,mfw,cosine_delta,22,404Billy,0.8222384289428712
1,mfw,cosine_delta,23,Roshi,0.8274373732463056
1,mfw,cosine_delta,24,Worms-T,0.8308556678762221
1,mfw,cosine_delta,25,ASHE 22,0.8319625467741838
1,mfw,burrows_delta,1,Lacrim,0.6711299164926104
1,mfw,burrows_delta,2,Zkr,0.6861611406158764
1,mfw,burrows_delta,3,Guizmo,0.6952556266353811
1,mfw,burrows_delta,4,GLK,0.7005160389116929
1,mfw,burrows_delta,5,L’Animalerie,0.700865390263803
1,mfw,burrows_delta,6,Rimkus,0.7069740625744663
1,mfw,burrows_delta,7,S-Pion,0.7089695960962463
1,mfw,burrows_delta,8,Beendo Z,0.7090896691098028
1,mfw,burrows_delta,9,SCH,0.7158184479505276
1,mfw,burrows_delta,10,Sam’s,0.7162929269334838
1,mfw,burrows_delta,11,404Billy,0.717739836872179
1,mfw,burrows_delta,12,Hayce Lemsi,0.7224586759708733
1,mfw,burrows_delta,13,S-Crew,0.7233332090115302
1,mfw,burrows_delta,14,ISK,0.7272113795534103
1,mfw,burrows_delta,15,Sofiane,0.7301025597054911
1,mfw,burrows_delta,16,Lemon Haze,0.7304964531125452
1,mfw,burrows_delta,17,Graya,0.7307901837886552
1,mfw,burrows_delta,18,Nahir,0.7309259719795869
1,mfw,burrows_delta,19,Vin’s,0.731299355024473
1,mfw,burrows_delta,20,Shtar Academy,0.7367547987946341
1,mfw,burrows_delta,21,Panama Bende,0.738930406826141
1,mfw,burrows_delta,22,Intouchable,0.7394057724551747
1,mfw,burrows_delta,23,Zikxo,0.7412738303392012
