url,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl,d_n_french
https://genius.com/Iam-change-lyrics,20,-1,1,4,-0.2604768960862467,52
https://genius.com/Manau-jdedicace-lyrics,-3,-4,0,0,-0.007435064935065405,1
https://genius.com/S-pion-ghost-lyrics,-4,-4,0,0,-0.003455771696112553,2
https://genius.com/Mokobe-mes-sentiments-lyrics,-4,-4,0,0,-0.004553629510578805,0
https://genius.com/Hayce-lemsi-le-bout-du-tunnel-lyrics,-4,-4,0,0,-0.001836948722192755,5
https://genius.com/Sofiane-la-didi-lyrics,-4,-4,0,0,-0.0016789975397046852,1
https://genius.com/Luv-resval-mexico-lyrics,2,-8,1,0,-0.056804943805269126,12
https://genius.com/Hooss-crame-lyrics,-4,-4,0,2,-0.0016758468571707041,1
https://genius.com/Team-bs-intro-lyrics,-2,-5,0,0,-0.01763045171339961,3
https://genius.com/Iam-421-lyrics,24,-2,1,0,-0.3079922027290434,53
https://genius.com/Dabs-je-pense-a-toi-lyrics,-2,-5,1,0,-0.022010785508513653,3
https://genius.com/Houari-laisse-lyrics,71,-20,12,0,-0.6269389547650404,149
https://genius.com/Ridsa-laissez-moi-lyrics,-4,-4,0,0,-0.0023629936293696474,0
https://genius.com/Bigflo-and-oli-rentrez-chez-vous-lyrics,-4,-4,0,0,-4.3090314217231196e-05,0
https://genius.com/Kemmler-a-cause-delle-lyrics,-3,-4,0,0,-0.007518849810327133,2
https://genius.com/Busta-flex-tatoojojo4snapback-lyrics,6,-3,0,0,-0.09397344228804894,10
https://genius.com/Zek-il-men-faut-peu-lyrics,-4,-4,0,0,-0.0008367753881208806,1
https://genius.com/Dadju-interdit-lyrics,-4,-4,0,0,-0.0013312979835351513,0
https://genius.com/Sneazzy-skurt-cobain-lyrics,-4,-4,0,1,-0.00027921018419085897,2
https://genius.com/Mafia-trece-nerfs-a-vif-lyrics,-4,-4,0,0,-0.0022673445956984395,0
https://genius.com/Diams-dans-le-desert-lyrics,-4,-4,0,8,-0.0021577427656795933,0
https://genius.com/Lionel-d-comme-une-fusion-lyrics,-4,-4,0,0,0.0013215287913466156,0
https://genius.com/Jul-je-leve-la-moto-lyrics,-2,-3,0,0,-0.01282294632499914,1
https://genius.com/Volts-face-freestyle-skyrock-lyrics,-3,-3,0,0,-0.012572798903738303,0
https://genius.com/Unite-2-feu-essonne-haut-de-seine-connexion-lyrics,4,-1,0,0,-0.046526275775283565,11
https://genius.com/Naps-tu-mconnais-dou-lyrics,-4,-4,0,0,-0.00478622185682287,0
https://genius.com/Soprano-amour-siamois-lyrics,-4,-4,0,0,-0.004877707244208551,0
https://genius.com/Alonzo-monica-lyrics,-4,-4,0,0,-0.0004772778703516778,5
https://genius.com/Dabs-telephone-lyrics,-4,-4,0,0,-0.0023419686070291768,1
https://genius.com/Scylla-langage-de-signes-lyrics,-4,-4,0,0,-0.0035431396941909554,0
https://genius.com/J9ueve-2-23-lyrics,-4,-4,0,0,-0.0037393546531339084,1
https://genius.com/F430-ciao-lyrics,-4,-4,0,0,0.0022469385462269287,0
https://genius.com/Nelick-elle-danse-toute-seule-dans-sa-chambre-lyrics,-4,-4,0,0,0.0021141649048637134,0
https://genius.com/Gims-laisse-tomber-lyrics,-4,-4,0,0,-0.0012014236046797855,0
https://genius.com/Canardo-heavy-heart-lyrics,2,-6,2,0,-0.07210036942516451,18
https://genius.com/Zuukou-mayzie-super-garcon-lyrics,-4,-4,0,0,-0.0034582086638481613,8
https://genius.com/Psy-4-de-la-rime-la-vie-ma-appris-lyrics,66,-8,5,0,-0.3923359137431457,138
https://genius.com/Guizmo-alcool-et-bedo-lyrics,-3,-4,0,0,-0.009491838792812679,2
https://genius.com/Maes-elvira-lyrics,-1,-3,0,0,-0.020297274697523626,1
https://genius.com/Niska-jsuis-dans-ltruc-freestyle-lyrics,-4,-4,0,0,-0.00376718085461647,4
https://genius.com/Vald-freestyle-chez-stoemp-6-lyrics,-3,-3,0,0,-0.015595210859457254,0
https://genius.com/Twin-twin-maintenant-je-sais-lyrics,58,-10,24,0,-0.6654496281271145,123
https://genius.com/Sexion-dassaut-casquette-a-lenvers-radio-edit-lyrics,70,-24,13,0,-0.35236800242485966,136
https://genius.com/Jorrdee-x3x-lyrics,-4,-4,0,0,-0.00700198389543516,0
https://genius.com/Sneazzy-serieux-lyrics,13,-3,0,0,-0.10439114391143933,27
https://genius.com/H-magnum-supermam-lyrics,48,-4,20,0,-0.6040207815676517,101
https://genius.com/Lord-esperanza-cameleon-lyrics,7,-2,0,0,-0.17238080661207889,22
https://genius.com/Serane-partout-lyrics,-4,-3,0,0,-0.008424158312059227,4
https://genius.com/Dosseh-la-haut-lyrics,38,-1,0,0,-0.33747591253106846,78
https://genius.com/Naza-vodka-lyrics,-4,-4,0,1,-0.00528535392067786,1
https://genius.com/Bigflo-and-oli-personne-lyrics,40,-15,11,0,-0.26947530881456405,87
https://genius.com/Akhenaton-cosca-crew-party-lyrics,48,-11,1,0,-0.38018426397433425,107
https://genius.com/Psy-4-de-la-rime-la-vengeance-aux-2-visages-lyrics,98,-42,34,-2,-0.49224521733101545,205
https://genius.com/Dosseh-toit-du-monde-lyrics,-4,-4,0,0,-0.0013590099467992722,0
https://genius.com/Plk-terrible-lyrics,-4,-4,0,0,-0.0012886405736867168,0
https://genius.com/Luv-resval-joe-dalton-lyrics,2,-10,4,0,-0.054146889623136296,13
https://genius.com/Stupeflip-les-cages-en-metal-lyrics,-4,-4,0,1,0.0026176552492387373,0
https://genius.com/Zikxo-4-temps-lyrics,52,-11,12,1,-0.3101632939290697,110
https://genius.com/Dinos-quand-les-cailleras-prient-lyrics,-4,-4,0,1,-0.0007795794725597993,0
https://genius.com/Iam-sale-argot-lyrics,18,-5,2,1,-0.24110211708593443,45
https://genius.com/Sultan-jd-lyrics,1,0,0,0,-0.005770957969892354,3
https://genius.com/Lord-esperanza-planete-bleue-lyrics,43,-16,16,1,-0.41220126247348965,93
https://genius.com/A2h-ta-copine-lyrics,0,0,0,0,4.884981308350689e-15,0
https://genius.com/Zamdane-classe-s-lyrics,-4,-4,0,1,-0.001715954728004565,1
https://genius.com/Niro-du-temps-et-des-lov-lyrics,-1,-3,0,2,-0.022418007607741597,5
https://genius.com/Naps-la-vida-lyrics,-4,-4,0,0,-0.00408170065306912,0
https://genius.com/Roshi-oublie-tout-lyrics,-4,-4,0,0,-0.0030211316202692906,0
https://genius.com/Iam-une-autre-brique-dans-le-mur-lyrics,0,-4,0,0,-0.025940337224381604,8
https://genius.com/Prince-waly-balotelli-lyrics,-2,-4,0,0,-0.012183328592868747,7
https://genius.com/Pso-thug-finition-lyrics,-4,-4,0,0,0.0001941983250359769,2
https://genius.com/Keblack-par-amour-lyrics,-3,-4,0,0,-0.013561133987962659,1
https://genius.com/Rimk-pilotes-crack-musik-lyrics,-4,-4,0,0,0.000723996460462395,9
https://genius.com/Kroc-blanc-festin-lyrics,-4,-4,0,0,0.0011280532748765282,1
https://genius.com/Lentourage-fous-la-merde-lyrics,-4,-4,0,0,-0.0021944699357634434,5
https://genius.com/Swift-guad-noir-sur-blanc-lyrics,-4,-4,0,0,-0.0017316261757844842,0
https://genius.com/Disiz-je-le-savais-lyrics,2,-7,2,7,-0.0434159417911304,14
https://genius.com/Lunatic-frere-de-la-rue-lyrics,-2,-4,0,0,-0.008094111107026514,4
https://genius.com/Jul-sous-la-simond-lyrics,-4,-4,0,0,-0.003928320398117968,1
https://genius.com/Kamelancien-kb-united-lyrics,55,-15,6,0,-0.2690366657809822,112
https://genius.com/Vald-la-machine-lyrics,5,-5,0,0,-0.08630945252181776,12
https://genius.com/Youv-dee-11-lyrics,-3,-4,0,2,-0.021058741583465768,2
https://genius.com/Eddy-de-pretto-qqn-lyrics,-4,-4,0,0,-0.0012328401972547809,0
https://genius.com/Youssoupha-origines-outro-lyrics,-4,-4,0,1,-0.0019841972859024892,1
