features,metric,sep_ziak,sep_H1_correct_moy,sep_H0_moy,z_vs_H1,z_vs_H0,log_rapport_vraisemblance_H0_H1,hypothese_favorisee,top1_modal
char,burrows_delta,-2.1259340589195026,-3.0105325415774886,-2.329303232654356,1.402654863615891,0.7982014855608455,1.5715074631073231,H0 (auteur absent du corpus),L’Animalerie
char,cosine_delta,-2.5199464238268883,-4.593159888985909,-3.0462864416449777,1.56711951735221,0.9837723430167085,1.6493354356187364,H0 (auteur absent du corpus),Beendo Z
mfw,burrows_delta,-2.222736438279026,-3.274812779471153,-2.3959684143807856,1.4518151620783815,0.6730954524804275,1.8625615105430997,H0 (auteur absent du corpus),Zkr
mfw,cosine_delta,-2.833826484551854,-4.83432959483357,-3.255734956778231,1.505224322565793,0.681758596222576,1.6647967349409238,H0 (auteur absent du corpus),Rimkus
